id,name
5dPBeuSKtu5vLz1Et8YSVv,Mostro
3hBQ4zniNdQf1cqqo6hzuW,Salmo
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
7dGJo4pcD2V6oG8kP0tJRR,Eminem
5DkmrXKeWgDS86KKEw45o6,Rancore
2kCcBybjl3SAtIcwdWpUe3,Lil Peep
6fOMl44jA4Sp5b9PpYCkzz,NF
109FvbnDVNag1UcJDVpFlr,Brian Tyler
2bdcBjvuI9worc472GbeU0,Samuel Kim
7tmTvmqgTBcX88ZrSHByrD,Nayt
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$
6udpKGzl85NuBEkZqOXiYB,Zoda
3z97WMRi731dCvKklIf2X6,NEFFEX
24eDfi2MSYo3A87hCcgpIL,Ludwig Göransson
5AZuEF0feCXMkUCwQiQlW7,Marracash
056KMTw6IztdQjBmFfVyO3,Rkomi
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
7yntSJ6uojO3z6GFUVwhAW,CORPSE
1MRiIeZbc0cRuxOafDUCtH,BLANCO
6XyY86QOPPrYVGvF9ch6wz,Linkin Park
65U1A6j2pIHfZXLoitJFXz,Claver Gold
02kJSzxNuaWGqwubyUba0Z,G-Eazy
7H9TcusDoz60eSTxB0Avxn,Blue Virus
0jdNdfi4vAuVi7a6cPDFBM,Lazza
2Eg0o1Mok66akOkuOiGdEv,Zack Hemsey
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
6jQZzWW3JlEtcRDSzFVKSP,Nitro
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke
63isdzBiMOaYkMiX6XddfB,Mezzosangue
19i93sA0D7yS9dYoVNBqAA,thasup
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
73jlPRxT7z5xk29sMqFDjU,Tommee Profitt
1RyvyyTE3xzB2ZywiAwp0i,Future
1UAY1hWd5x69hPVXMXIeri,Murubutu
1AgAVqo74e2q4FVvg0xpT7,Tedua
6UBA15slIuadJ8h2lPRPos,Tech N9ne
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
7Do8se3ZoaVqUt3woqqSrD,MACHETE
4qIVPF0s71ZYW3qzhu5GkF,Kina
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
7LbEDjJKrmWoMcN3OpaNnR,Daniel Pemberton
4kLvhMAuCloLxoP1aVM7Lr,Michael Giacchino
6olE6TJLqED3rqDCT0FyPh,Nirvana
2cFrymmkijnjDg9SS92EPM,blackbear
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
